"id","repo","file_path","embed_method","content"
48,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_print"")"
49,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_tts"")"
50,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_edit"")"
51,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","offerPurchase()","analyticsManager.report(FirebaseAnalytics.Event.PRESENT_OFFER)"
52,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","showRecent()","analyticsManager.report(FirebaseAnalytics.Event.SELECT_CONTENT, FirebaseAnalytics.Param.CONTENT_TYPE, ""recent"")"
53,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","buyAdRemoval(DialogInterface,int)","analyticsManager.report(FirebaseAnalytics.Event.BEGIN_CHECKOUT)"
54,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","buyAdRemoval(DialogInterface,int)","analyticsManager.report(FirebaseAnalytics.Event.ADD_TO_CART)"
55,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","leaveFullscreen()","analyticsManager.report(""fullscreen_end"")"
56,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","findDocument(DialogInterface,int)","analyticsManager.report(FirebaseAnalytics.Event.SELECT_CONTENT, FirebaseAnalytics.Param.CONTENT_TYPE, target.activityInfo.packageName)"
57,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","saveSync(Uri,String)","analyticsManager.report(""save_error"", FirebaseAnalytics.Param.CONTENT_TYPE, lastResult.options.fileType)"
58,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","onSuccess(FileLoader,.,Result)","analyticsManager.report(""load_odf_error_expected"", FirebaseAnalytics.Param.CONTENT_TYPE, options.fileType)"
59,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","onSuccess(FileLoader,.,Result)","analyticsManager.report(""load_success"", FirebaseAnalytics.Param.CONTENT_TYPE, options.fileType, FirebaseAnalytics.Param.CONTENT, result.loaderType.toString())"
60,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","onError(FileLoader,.,Result,Throwable,DialogInterface,int)","analyticsManager.report(""load_error_encrypted"")"
61,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","onError(FileLoader,.,Result,Throwable,DialogInterface,int)","analyticsManager.report(""load_odf_error"", FirebaseAnalytics.Param.CONTENT_TYPE, options.fileType)"
62,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","onError(FileLoader,.,Result,Throwable,DialogInterface,int)","analyticsManager.report(""load_error"", FirebaseAnalytics.Param.CONTENT_TYPE, options.fileType, FirebaseAnalytics.Param.CONTENT, result.loaderType.toString())"
63,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","offerUpload(Activity,FileLoader,.,Options,boolean,DialogInterface,int,DialogInterface,int)","analyticsManager.report(""upload_offer_invasive"", FirebaseAnalytics.Param.CONTENT_TYPE, fileType, FirebaseAnalytics.Param.CONTENT, options.originalUri)"
64,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","offerUpload(Activity,FileLoader,.,Options,boolean,DialogInterface,int,DialogInterface,int)","analyticsManager.report(""load_upload"", FirebaseAnalytics.Param.CONTENT_TYPE, fileType)"
65,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","offerUpload(Activity,FileLoader,.,Options,boolean,DialogInterface,int,DialogInterface,int)","analyticsManager.report(""load_upload_cancel"", FirebaseAnalytics.Param.CONTENT_TYPE, fileType)"
66,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","offerUpload(Activity,FileLoader,.,Options,boolean,DialogInterface,int,DialogInterface,int)","analyticsManager.report(""upload_offer_subtle"", FirebaseAnalytics.Param.CONTENT_TYPE, fileType, FirebaseAnalytics.Param.CONTENT, options.originalUri)"
67,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","offerReopen(Activity,FileLoader,.,Options,int,boolean)","analyticsManager.report(""reopen_offer"", FirebaseAnalytics.Param.CONTENT_TYPE, fileType, FirebaseAnalytics.Param.CONTENT, options.originalUri)"
68,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","doReopen(FileLoader,.,Options,Activity,boolean,boolean)","analyticsManager.report(logPrefix + ""_success"", FirebaseAnalytics.Param.CONTENT_TYPE, fileType)"
69,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java","doReopen(FileLoader,.,Options,Activity,boolean,boolean)","analyticsManager.report(logPrefix + ""_failed_noapp"", FirebaseAnalytics.Param.CONTENT_TYPE, fileType)"
70,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/core/src/main/java/piuk/blockchain/androidcore/utils/DeviceIdGenerator.java","kotlin_cannot_identify","analytics.logEvent(AnalyticsGenEvent(SOURCE_MAC_ADDRESS))"
71,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/core/src/main/java/piuk/blockchain/androidcore/utils/DeviceIdGenerator.java","kotlin_cannot_identify","analytics.logEvent(AnalyticsGenEvent(SOURCE_ANDROID_ID))"
72,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/core/src/main/java/piuk/blockchain/androidcore/utils/extensions/RxLogErrorExtensions.java","kotlin_cannot_identify","analytics.logEvent(networkError(host, path, message()))"
73,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/core/src/main/java/piuk/blockchain/androidcore/data/access/AccessState.java","kotlin_cannot_identify","crashLogger.logEvent(""logout. resetting pin"") "
74,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/core/src/main/java/piuk/blockchain/androidcore/data/access/AccessState.java","kotlin_cannot_identify","crashLogger.logEvent(""unpair. resetting pin"") "
75,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/home/MainActivity.java","kotlin_cannot_identify","analytics.logEvent(NotificationAppOpened)"
76,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/home/MainActivity.java","kotlin_cannot_identify","analytics.logEvent(SideNavEvent(menuItem.itemId)) "
77,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/home/MainActivity.java","kotlin_cannot_identify","analytics.logEvent(SimpleBuyAnalytics.SIMPLE_BUY_SIDE_NAV) "
78,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/home/MainActivity.java","kotlin_cannot_identify","analytics.logEvent(AnalyticsEvents.Logout) "
79,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/home/MainActivity.java","kotlin_cannot_identify","analytics.logEvent(AnalyticsEvents.Support) "
80,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/launcher/LauncherActivity.java","kotlin_cannot_identify","analytics.logEvent(NotificationAppOpened)"
81,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/upgrade/UpgradeWalletPresenter.java","kotlin_cannot_identify","Logging.logEvent(walletUpgradeEvent((true))) "
82,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/upgrade/UpgradeWalletPresenter.java","kotlin_cannot_identify","Logging.logEvent(walletUpgradeEvent((false))) "
83,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/splash/KycSplashFragment.java","kotlin_cannot_identify","analytics.logEvent(KYCAnalyticsEvents.VerifyIdentityStart) "
