id,repo,file_path,embed_method,content,,,,,,
1131,https://github.com/SebastianRask/Pocket-Plays-for-Twitch,Pocket-Plays-for-Twitch/app/src/main/java/com/sebastianrask/bettersubscription/activities/setup/WelcomeActivity.java,"onCreate(Bundle,Animation,Animation,Animation,Animation,Animation,Animation,Animation,Animation,Animation,View)","trackEvent(R.string.category_read, R.string.action_welcome)",,,,,,
1265,https://github.com/StepicOrg/stepik-android,stepik-android/app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.java,kotlin_cannot_identify,"YandexMetrica.reportEvent(analyticEvent.name, analyticEvent.params)",,,,,,
1338,https://github.com/StepicOrg/stepik-android,stepik-android/app/src/main/java/org/stepik/android/presentation/course_continue/delegate/CourseContinuePresenterDelegateImpl.java,kotlin_cannot_identify,analytic.reportEvent(Analytic.Interaction.CLICK_CONTINUE_COURSE) ,,,,,,
667,https://github.com/OneBusAway/onebusaway-android,onebusaway-android/onebusaway-android/src/google/java/org/onebusaway/android/map/googlemapsv2/BaseMapFragment.java,onDeactivateLayer(LayerInfo),"ObaAnalytics.reportUiEvent(mFirebaseAnalytics, getString(R.string.analytics_layer_bikeshare), getString(R.string.analytics_label_bikeshare_deactivated))",,,,,,
141,https://github.com/blockchain/My-Wallet-V3-Android,My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/dashboard/transfer/BasicTransferToWallet.java,kotlin_cannot_identify,analytics.logEvent(WithdrawScreenShown(cryptoCurrency)) ,,,,,,
354,https://github.com/wbaumann/SmartReceiptsLibrary,SmartReceiptsLibrary/app/src/main/java/co/smartreceipts/android/rating/FeedbackDialogFragment.java,onCreateDialog(Bundle),analytics.record(Events.Ratings.UserDeclinedSendingFeedback),,,,,,
1334,https://github.com/StepicOrg/stepik-android,stepik-android/app/src/main/java/org/stepik/android/presentation/auth/SocialAuthPresenter.java,kotlin_cannot_identify,"analytic.reportEvent(Analytic.Error.SOCIAL_AUTH_FAILED, throwable.response()?.errorBody()?.string() ?: ""empty response"")",,,,,,
778,https://github.com/1hakr/AnExplorer,AnExplorer/app/src/main/java/dev/dworks/apps/anexplorer/DocumentsActivity.java,doInBackground(Void),"AnalyticsManager.logEvent(""files_moved"", params2)",,,,,,
268,https://github.com/mozilla-tw/FirefoxLite,FirefoxLite/app/src/main/java/org/mozilla/focus/settings/SettingsFragment.java,kotlin_cannot_identify,TelemetryWrapper.clickDefaultBrowserInSetting(),,,,,,
1305,https://github.com/StepicOrg/stepik-android,stepik-android/app/src/main/java/org/stepik/android/view/notification/FcmNotificationHandlerImpl.java,kotlin_cannot_identify,"analytic.reportEvent(Analytic.Notification.CANT_PARSE_NOTIFICATION, stepikNotification.id.toString())",,,,,,
