id,commit_fk,file_path,embed_method,change_type,content,content_update_from
1057,7044,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,(Analytic.Screens.SHOW_MAIN_FEED),
1104,7083,app/src/main/java/org/stepic/droid/ui/dialogs/LogoutAreYouSureDialog.java,NILL,LOG_DELETED,(Analytic.Interaction.CLICK_YES_LOGOUT),
1059,7038,app/src/main/java/org/stepic/droid/core/presenters/InvitationPresenter.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.SHOW_MATERIAL_DIALOG_INVITATION) ,
1060,7038,app/src/main/java/org/stepic/droid/core/presenters/InvitationPresenter.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.NEGATIVE_MATERIAL_DIALOG_INVITATION) ,
1061,7038,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.Interaction.POSITIVE_MATERIAL_DIALOG_INVITATION),analytic.reportEvent(Analytic.Interaction.INVITATION_PREVENTED)
1062,7038,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.Interaction.POSITIVE_MATERIAL_DIALOG_INVITATION),analytic.reportEvent(Analytic.Interaction.SHOW_MATERIAL_DIALOG_INVITATION)
1063,7038,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.Interaction.POSITIVE_MATERIAL_DIALOG_INVITATION),analytic.reportEvent(Analytic.Interaction.NEGATIVE_MATERIAL_DIALOG_INVITATION)
1064,7046,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1065,7046,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,(Analytic.Interaction.INVITATION_PREVENTED),
1066,7046,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1067,7046,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,(Analytic.Notification.OPEN_NOTIFICATION),
1068,7049,app/src/main/java/org/stepic/droid/ui/activities/StepsActivity.kt,NILL,LOG_ADDED,analytic.reportEvent,
1069,7049,app/src/main/java/org/stepic/droid/ui/activities/StepsActivity.kt,NILL,LOG_ADDED,(Analytic.DeepLink.ANONYMOUS_OPEN_STEPS_LINK),
1070,7060,app/src/classic/java/org.stepic.droid/ui/activities/LaunchActivity.java,NILL,LOG_ADDED,analytic.reportEvent,
1071,7060,app/src/classic/java/org.stepic.droid/ui/activities/LaunchActivity.java,NILL,LOG_ADDED,(Analytic.Interaction.CLICK_FIND_COURSE_LAUNCH),
1072,7066,app/src/main/java/org/stepic/droid/core/presenters/CourseJoinerPresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
1073,7066,app/src/main/java/org/stepic/droid/core/presenters/CourseJoinerPresenter.kt,NILL,LOG_ADDED,(Analytic.Anonymous.JOIN_COURSE),
1074,7066,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,analytic.reportEvent,
1075,7066,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,(Analytic.Anonymous.BROWSE_COURSES_DRAWER),
1076,7066,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,analytic.reportEvent,
1077,7066,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,(Analytic.Anonymous.AUTH_DRAWER),
1078,7066,app/src/main/java/org/stepic/droid/ui/fragments/CourseDetailFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1079,7066,app/src/main/java/org/stepic/droid/ui/fragments/CourseDetailFragment.java,NILL,LOG_ADDED,(Analytic.Anonymous.SUCCESS_LOGIN_AND_ENROLL),
1080,7066,app/src/main/java/org/stepic/droid/ui/fragments/CourseDetailFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1081,7066,app/src/main/java/org/stepic/droid/ui/fragments/CourseDetailFragment.java,NILL,LOG_ADDED,(Analytic.Interaction.JOIN_COURSE),
1082,7066,app/src/main/java/org/stepic/droid/ui/fragments/CourseListFragmentBase.java,NILL,LOG_ADDED,analytic.reportEvent,
1083,7066,app/src/main/java/org/stepic/droid/ui/fragments/CourseListFragmentBase.java,NILL,LOG_ADDED,(Analytic.Anonymous.BROWSE_COURSES_CENTER),
1084,7066,app/src/main/java/org/stepic/droid/ui/fragments/CourseListFragmentBase.java,NILL,LOG_ADDED,analytic.reportEvent,
1085,7066,app/src/main/java/org/stepic/droid/ui/fragments/CourseListFragmentBase.java,NILL,LOG_ADDED,(Analytic.Anonymous.AUTH_CENTER),
1086,7066,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1087,7066,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,(Analytic.Notification.OPEN_NOTIFICATION),
1088,7066,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1089,7066,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,(Analytic.Interaction.JOIN_COURSE),
1090,7079,app/src/main/java/org/stepic/droid/core/LoginManager.java,NILL,LOG_DELETED,analytic.reportEvent,
1091,7079,app/src/main/java/org/stepic/droid/core/LoginManager.java,NILL,LOG_DELETED,(Analytic.Error.FAIL_LOGIN),
1092,7079,app/src/main/java/org/stepic/droid/core/LoginManager.java,NILL,LOG_DELETED,analytic.reportEvent,
1093,7079,app/src/main/java/org/stepic/droid/core/LoginManager.java,NILL,LOG_DELETED,(Analytic.Interaction.SUCCESS_LOGIN),
